Id,Product_name,Region,Category,Sub_Category,Date,Quantity,Unit_Price,Profit,Sales,
415,Notebook,East,,Basic,2/18/2025,8,2000,800,16000,
416,Laptop,West,,Premium,2/19/2025,3,58000,9500,174000,
417,Mobile,North,,Standard,2/20/2025,1,20000,2800,20000,
418,Tablet,South,,Basic,2/21/2025,2,15000,2200,30000,
419,Chair,East,,Standard,2/22/2025,1,7000,1600,7000,
420,Notebook,West,,Basic,2/23/2025,3,2000,900,6000,
421,Laptop,North,,Premium,2/24/2025,5,52000,8500,260000,
422,Mobile,South,,Standard,2/25/2025,1,21000,3300,21000,
423,Tablet,East,,Basic,2/26/2025,1,15000,1900,15000,
424,Chair,West,,Standard,2/27/2025,2,7000,1500,14000,
425,Notebook,North,,Basic,2/28/2025,1,2000,700,2000,
426,Laptop,South,,Premium,3/1/2025,3,54000,8800,162000,
427,Mobile,East,,Standard,3/2/2025,1,23000,3400,23000,
428,Tablet,West,,Basic,3/3/2025,2,15000,2600,30000,
429,Chair,North,,Standard,3/4/2025,1,7000,1700,7000,
430,Notebook,South,,Basic,3/5/2025,2,2000,850,4000,
431,Laptop,East,,Premium,3/6/2025,4,60000,10200,240000,
432,Mobile,West,,Standard,3/7/2025,1,22000,3600,22000,
433,Tablet,North,,Basic,3/8/2025,1,15000,2000,15000,
434,Chair,South,,Standard,3/9/2025,2,7000,1400,14000,
435,Notebook,East,,Basic,3/10/2025,3,2000,750,6000,
436,Laptop,West,,Premium,3/11/2025,5,58000,9400,290000,
437,Mobile,North,,Standard,3/12/2025,1,21000,3000,21000,
438,Tablet,South,,Basic,3/13/2025,2,15000,2300,30000,
439,Chair,East,,Standard,3/14/2025,1,7000,1600,7000,
440,Notebook,West,,Basic,3/15/2025,2,2000,900,4000,
441,Laptop,North,,Premium,3/16/2025,4,52000,8200,208000,
442,Mobile,South,,Standard,3/17/2025,1,20000,3100,20000,
443,Tablet,East,,Basic,3/18/2025,1,15000,1900,15000,
444,Chair,West,,Standard,3/19/2025,2,7000,1500,14000,
445,Notebook,North,,Basic,3/20/2025,3,2000,700,6000,
446,Laptop,South,,Premium,3/21/2025,5,55000,8900,275000,
447,Mobile,East,,Standard,3/22/2025,1,22000,3300,22000,
448,Tablet,West,,Basic,3/23/2025,2,15000,2500,30000,
449,Chair,North,,Standard,3/24/2025,1,7000,1700,7000,
450,Notebook,South,,Basic,3/25/2025,2,2000,850,4000,
451,Laptop,East,,Premium,3/26/2025,4,60000,10200,240000,
452,Mobile,West,,Standard,3/27/2025,1,21000,3500,21000,
453,Tablet,North,,Basic,3/28/2025,1,15000,2000,15000,
454,Chair,South,,Standard,3/29/2025,2,7000,1400,14000,
455,Notebook,East,,Basic,3/30/2025,3,2000,750,6000,
456,Laptop,West,,Premium,3/31/2025,5,58000,9400,290000,
457,Mobile,North,,Standard,4/1/2025,1,20000,2800,20000,
458,Tablet,South,,Basic,4/2/2025,2,15000,2300,30000,
459,Chair,East,,Standard,4/3/2025,1,7000,1600,7000,
460,Notebook,West,,Basic,4/4/2025,2,2000,900,4000,
461,Laptop,North,,Premium,4/5/2025,4,52000,8200,208000,
462,Mobile,South,,Standard,4/6/2025,1,20000,3100,20000,
463,Tablet,East,,Basic,4/7/2025,1,15000,1900,15000,
464,Chair,West,,Standard,4/8/2025,2,7000,1500,14000,
465,Notebook,North,,Basic,4/9/2025,3,2000,700,6000,
466,Laptop,South,,Premium,4/10/2025,5,55000,8900,275000,
467,Mobile,East,,Standard,4/11/2025,1,22000,3300,22000,
468,Tablet,West,,Basic,4/12/2025,2,15000,2500,30000,
469,Chair,North,,Standard,4/13/2025,1,7000,1700,7000,
470,Notebook,South,,Basic,4/14/2025,2,2000,850,4000,
471,Laptop,East,,Premium,4/15/2025,4,60000,10200,240000,
472,Mobile,West,,Standard,4/16/2025,1,21000,3500,21000,
473,Tablet,North,,Basic,4/17/2025,1,15000,2000,15000,
474,Chair,South,,Standard,4/18/2025,2,7000,1400,14000,
475,Notebook,East,,Basic,4/19/2025,3,2000,750,6000,
476,Laptop,West,,Premium,4/20/2025,5,58000,9400,290000,
477,Mobile,North,,Standard,4/21/2025,1,20000,2800,20000,
478,Tablet,South,,Basic,4/22/2025,2,15000,2300,30000,
479,Chair,East,,Standard,4/23/2025,1,7000,1600,7000,
480,Notebook,West,,Basic,4/24/2025,2,2000,900,4000,
481,Laptop,North,,Premium,4/25/2025,4,52000,8200,208000,
482,Mobile,South,,Standard,4/26/2025,1,20000,3100,20000,
483,Tablet,East,,Basic,4/27/2025,1,15000,1900,15000,
484,Chair,West,,Standard,4/28/2025,2,7000,1500,14000,
485,Notebook,North,,Basic,4/29/2025,3,2000,700,6000,
486,Laptop,South,,Premium,4/30/2025,5,55000,8900,275000,
487,Mobile,East,,Standard,5/1/2025,1,22000,3300,22000,
488,Tablet,West,,Basic,5/2/2025,2,15000,2500,30000,
489,Chair,North,,Standard,5/3/2025,1,7000,1700,7000,
490,Notebook,South,,Basic,5/4/2025,2,2000,850,4000,
491,Laptop,East,,Premium,5/5/2025,4,60000,10200,240000,
492,Mobile,West,,Standard,5/6/2025,1,21000,3500,21000,
493,Tablet,North,,Basic,5/7/2025,1,15000,2000,15000,
494,Chair,South,,Standard,5/8/2025,2,7000,1400,14000,
495,Notebook,East,,Basic,5/9/2025,3,2000,750,6000,
496,Laptop,West,,Premium,5/10/2025,5,58000,9400,290000,
497,Mobile,North,,Standard,5/11/2025,1,20000,2800,20000,
498,Tablet,South,,Basic,5/12/2025,2,15000,2300,30000,
499,Chair,East,,Standard,5/13/2025,1,7000,1600,7000,
500,Notebook,West,,Basic,5/14/2025,2,2000,900,4000,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
